disease,symptom,weight
Common Cold,fever,0.3
Common Cold,headache,0.3
Common Cold,sore_throat,0.7
Common Cold,cough,0.8
Common Cold,runny_nose,0.9
Common Cold,congestion,0.9
Common Cold,sneezing,0.8
Common Cold,fatigue,0.4
Common Cold,chills,0.2
Common Cold,body_ache,0.2
Common Cold,mild_headache,0.3
Common Cold,watery_eyes,0.3
Common Cold,hoarseness,0.4
Common Cold,post_nasal_drip,0.6
Influenza (Flu),fever,0.9
Influenza (Flu),headache,0.7
Influenza (Flu),sore_throat,0.5
Influenza (Flu),cough,0.8
Influenza (Flu),congestion,0.5
Influenza (Flu),muscle_pain,0.8
Influenza (Flu),fatigue,0.9
Influenza (Flu),chills,0.7
Influenza (Flu),body_ache,0.8
Influenza (Flu),weakness,0.7
Influenza (Flu),sweating,0.6
Influenza (Flu),loss_of_appetite,0.5
Influenza (Flu),runny_nose,0.5
Influenza (Flu),nausea,0.3
COVID-19,fever,0.7
COVID-19,cough,0.8
COVID-19,shortness_of_breath,0.8
COVID-19,fatigue,0.7
COVID-19,muscle_pain,0.5
COVID-19,headache,0.5
COVID-19,sore_throat,0.4
COVID-19,congestion,0.4
COVID-19,appetite_changes,0.3
COVID-19,loss_of_taste,0.8
COVID-19,loss_of_smell,0.8
COVID-19,diarrhea,0.4
COVID-19,nausea,0.3
COVID-19,chills,0.5
COVID-19,body_ache,0.6
COVID-19,dizziness,0.3
Gastroenteritis,nausea,0.8
Gastroenteritis,vomiting,0.8
Gastroenteritis,diarrhea,0.9
Gastroenteritis,abdominal_pain,0.7
Gastroenteritis,fever,0.4
Gastroenteritis,fatigue,0.5
Gastroenteritis,headache,0.3
Gastroenteritis,loss_of_appetite,0.6
Gastroenteritis,muscle_aches,0.3
Gastroenteritis,dehydration,0.5
Gastroenteritis,bloating,0.4
Gastroenteritis,cramping,0.6
Migraine,headache,0.9
Migraine,nausea,0.6
Migraine,dizziness,0.5
Migraine,vomiting,0.4
Migraine,sensitivity_to_light,0.7
Migraine,sensitivity_to_sound,0.6
Migraine,visual_disturbances,0.5
Migraine,aura,0.4
Migraine,pulsing_pain,0.7
Migraine,neck_stiffness,0.4
Migraine,difficulty_concentrating,0.4
Migraine,fatigue,0.3
Pneumonia,fever,0.8
Pneumonia,cough,0.9
Pneumonia,shortness_of_breath,0.8
Pneumonia,chest_pain,0.7
Pneumonia,fatigue,0.6
Pneumonia,chills,0.5
Pneumonia,rapid_breathing,0.7
Pneumonia,sweating,0.5
Pneumonia,headache,0.3
Pneumonia,loss_of_appetite,0.4
Pneumonia,confusion,0.3
Pneumonia,coughing_up_mucus,0.8
Pneumonia,wheezing,0.5
Asthma,wheezing,0.9
Asthma,shortness_of_breath,0.9
Asthma,cough,0.7
Asthma,chest_pain,0.5
Asthma,fatigue,0.4
Asthma,trouble_sleeping,0.5
Asthma,anxiety,0.3
Asthma,rapid_breathing,0.7
Asthma,difficulty_breathing,0.8
Asthma,chest_tightness,0.8
Asthma,coughing_at_night,0.6
Allergic Rhinitis,sneezing,0.9
Allergic Rhinitis,runny_nose,0.9
Allergic Rhinitis,congestion,0.8
Allergic Rhinitis,itchy_eyes,0.7
Allergic Rhinitis,watery_eyes,0.7
Allergic Rhinitis,cough,0.4
Allergic Rhinitis,itchy_nose,0.7
Allergic Rhinitis,itchy_throat,0.5
Allergic Rhinitis,postnasal_drip,0.6
Allergic Rhinitis,sinus_pressure,0.5
Allergic Rhinitis,fatigue,0.3
Hypertension,headache,0.6
Hypertension,dizziness,0.5
Hypertension,chest_pain,0.4
Hypertension,shortness_of_breath,0.4
Hypertension,nosebleed,0.3
